"post_id","title","description"
"4419","NüVoices Podcast Bonus #2: What You Know (and Didn’t Know), a Reading by Chris Yitao Shen","A bonus episode of the NüVoices podcast featuring Chris Yitao Shen reading her essay ""What You Know (and Didn't Know),"" which won third place in the 2025 NüStories personal essay contest on the theme of Chinese identity."
"4415","NüVoices Podcast #128: The Wall Dancers: A Conversation with Journalist and Author Yi-Ling Liu","Yi-Ling Liu discusses her debut book ""The Wall Dancers,"" exploring how marginalized communities navigate censorship on the Chinese internet and questioning assumptions about technology's liberatory potential."
"4411","NüVoices Podcast Bonus #1: You Need Glasses for Asian Faces, a Reading by Juliette Yu-Ming Lizeray","Juliette Yu-Ming Lizeray reads her first-place essay from the 2025 NüStories personal essay contest on the theme of Chinese identity, introduced by NüVoices editor Jessie Lau."
"4400","Inside the Tongren World: Chinese Feminist Zine ‘Pubis’ Celebrates Queer Love","Pubis Magazine is a bilingual Chinese-English zine exploring tongren nü, a female fandom community creating queer romance fiction, offering a space for Chinese feminists and queers in the diaspora to connect."
"4397","Chinese American novelist Gish Jen exhumes her mother’s cruelty in an intimate reconciliation","Gish Jen's novel Bad Bad Girl fictionalizes her late mother's life, from a wealthy Shanghai childhood to American immigration, exploring their difficult relationship through a blend of memoir and fiction."
"4388","Enter NüVoices Magazine’s 2026 creative non-fiction contest","NüVoices Magazine's 2026 creative non-fiction contest invites self-identified women, non-binary, and queer writers to submit essays up to 1,200 words on the theme ""In Flux,"" exploring navigating uncertainty and change in relation to China."
"4386","NüVoices Podcast #127:  Joanna Chiu and Jessie Lau on Media Entrepreneurship and the Power of Innovation","NüVoices founder Joanna Chiu and editor Jessie Lau discuss their new ventures — Nüora Global Advisors and New Tide — exploring media entrepreneurship, career resilience, and amplifying underrepresented voices in journalism."
"4353","Hong Kong’s Struggle: Three Books Reflect on the City in Revolt","Three recent books examine Hong Kong's 2019 pro-democracy protests and their aftermath through distinct lenses: legal resistance, decolonisation theory, and the broader regional struggle against autocracy across Asia."
"4376","Women only make up a third of all speakers on China panels in Europe, research shows","Research tracking 268 events and 210 podcast episodes across 63 European think tanks found women made up only 34.7% of speakers on China-related panels, with nearly two-thirds of moderated sessions featuring no women in speaking roles."
"4366","NüVoices Podcast #126: A Conversation with Maya Wang on the Future of Chinese Human Rights Advocacy ","NüVoices host Joanna Chiu speaks with human rights researcher Maya Wang about the future of China human rights advocacy, transnational oppression, surveillance technology, and the global rise of authoritarianism."
"4362","EVENT: Fall Fundraiser and Karaoke Meetup in NYC","NüVoices hosted a fall fundraiser and karaoke meetup in NYC on November 23, 2025, featuring readings, raffle prizes, and a preview of their new website, co-hosted with AAJA NY at Accent Sisters."
"4310","In ‘Foretokens,’ poet Sarah Howe parses the puzzle of her inheritance","Sarah Howe's poetry collection ""Foretokens,"" shortlisted for the T. S. Eliot Prize, explores themes of inheritance, motherhood, and identity through her Hong Kong-born mother's difficult past and Howe's own experience of becoming a mother."
"4338","Britain’s Diaspora-Led Hong Kong Film Festival Shines a Spotlight on the City’s Women Directors","The Hong Kong Film Festival UK, now in its third edition, featured a programme where half the films were directed by women, exploring themes of migration, activism, and gender while bringing Hong Kong cinema to audiences across Britain."
"4340","Virtual Workshop: Writing Across Borders: Crafting Essays on Science, Culture & Current Events with Yangyang Cheng","A virtual writing workshop with Yangyang Cheng on crafting essays about science, culture, and current events, focusing on approaches that move beyond state-centric frameworks in U.S.-China discourse."
"4334","NüVoices Podcast #125: A Conversation with Director Elizabeth Lo about her Documentary, ‘Mistress Dispeller’","NüVoices host Solarina Ho speaks with filmmaker Elizabeth Lo about her documentary Mistress Dispeller, which follows a hired intermediary working to end a husband's affair and explores marriage, infidelity, and social dynamics in Chinese society."
"4330","Hong Kong Law Students Pursue Justice Against AI Deepfakes","Female law students at the University of Hong Kong discovered a male classmate had used AI to create explicit images from their social media photos, prompting a campaign for legal reform as existing laws fail to address deepfake pornography."
"4320","NüProfile: Translator Sarah Ye ties Shakespeare to Classical Chinese poetry","Sarah Ye translated all 154 of Shakespeare's sonnets into Chinese, drawing on parallels between Elizabethan verse and classical Chinese poetry. She discusses the challenges of bridging two literary traditions separated by centuries and language."
"4312","NüVoices Podcast #124: Daughters of the Bamboo Grove: A Conversation with Award-winning Author Barbara Demick","Award-winning journalist Barbara Demick discusses her book on twin sisters separated by China's One Child Policy, their reunion, and how the story challenges common narratives about Chinese adoption and family."
"4305","Meng Han Hsieh’s film ‘The Test’ powerfully portrays Britain’s alienating naturalisation process","Meng Han Hsieh's short film The Test depicts the alienating experience of taking Britain's citizenship test, drawing on her own journey as a Taiwanese immigrant and earning a Sony Future Filmmaker Awards nomination."
"4300","NüVoices Podcast #123: Grace Shao, China’s AI boom and the myth of US-China race","Grace Shao discusses China's AI development, comparing US and Chinese approaches to AI deployment, domestic AI talent, and the future of robotics, while sharing her experience as a tech analyst and founder of the AI Proem newsletter."
"4297","Meet the Hong Kong migrant mums swapping the workplace for home life","Many Hong Kong mothers who migrated to the UK through the BN(O) visa programme left their careers to become full-time housewives. They reflect on motherhood, identity, and self-worth in a new country."
"4291","Overseas Chinese feminists call on Beijing to protect women from digital violence","Overseas Chinese feminists in London protested to urge Beijing to strengthen laws against digital violence after a massive Telegram forum was found sharing covertly filmed and non-consensual intimate images of women across groups with hundreds of thousands of members."
