"post_id","title","description"
"4419","NüVoices Podcast Bonus #2: What You Know (and Didn’t Know), a Reading by Chris Yitao Shen","In this bonus episode, NüStories essay contest third-place winner Chris Yitao Shen reads her personal essay on Chinese identity — a quiet, searching meditation on memory, belonging, and what remains unspoken."
"4415","NüVoices Podcast #128: The Wall Dancers: A Conversation with Journalist and Author Yi-Ling Liu","Journalist Yi-Ling Liu joins NüVoices to discuss her debut book ""The Wall Dancers,"" exploring how marginalized communities navigate censorship on the Chinese internet and why the myth of technology's inherent liberatory potential no longer holds."
"4411","NüVoices Podcast Bonus #1: You Need Glasses for Asian Faces, a Reading by Juliette Yu-Ming Lizeray","Writer Juliette Yu-Ming Lizeray reads her first-place essay ""You Need Glasses for Asian Faces"" from NüVoices' inaugural NüStories personal essay contest exploring the diversity of Chinese identity."
"4400","Inside the Tongren World: Chinese Feminist Zine ‘Pubis’ Celebrates Queer Love","A new bilingual zine born in London's Vagina Museum spotlights tongren nü, the Chinese female fandom community creating queer romance fiction that defies patriarchal norms—even as Beijing's censorship crackdown threatens danmei writers with jail time."
"4397","Chinese American novelist Gish Jen exhumes her mother’s cruelty in an intimate reconciliation","Gish Jen fictionalises her late mother's journey from wartime Shanghai to immigrant America in Bad Bad Girl, a genre-defying novel that excavates a relationship scarred by cruelty and unresolved longing."
"4388","Enter NüVoices Magazine’s 2026 creative non-fiction contest","NüVoices Magazine opens its 2026 creative non-fiction contest on the theme ""In Flux,"" inviting women, non-binary, and queer writers to explore navigating uncertainty and change in relation to China, with cash prizes up to $100."
"4386","NüVoices Podcast #127:  Joanna Chiu and Jessie Lau on Media Entrepreneurship and the Power of Innovation","Joanna Chiu and Jessie Lau discuss launching New Tide and Nüora Global Advisors, sharing lessons on media entrepreneurship, resilience, and creating opportunity in a rapidly shifting industry."
"4353","Hong Kong’s Struggle: Three Books Reflect on the City in Revolt","Angel Sun reviews three books offering strikingly different lenses on Hong Kong's 2019 protests—legal resistance, decolonization, and pan-Asian solidarity—and the deep pessimism that has followed."
"4376","Women only make up a third of all speakers on China panels in Europe, research shows","A first-of-its-kind audit by the Women Insight on China initiative reveals that women account for just 35% of speakers at European China-policy events, with nearly half of all panels featuring no women at all."
"4366","NüVoices Podcast #126: A Conversation with Maya Wang on the Future of Chinese Human Rights Advocacy ","NüVoices host Joanna Chiu speaks with human rights researcher Maya Wang about the future of China human rights advocacy amid transnational oppression, surveillance technology, and the global rise of authoritarianism."
"4362","EVENT: Fall Fundraiser and Karaoke Meetup in NYC","NüVoices hosts a fall fundraiser and karaoke meetup in New York City, featuring readings, raffle prizes, and a preview of the collective's website revamp, co-hosted with AAJA NY at Accent Sisters on November 23."
"4310","In ‘Foretokens,’ poet Sarah Howe parses the puzzle of her inheritance","Sarah Howe's T.S. Eliot Prize-shortlisted collection ""Foretokens"" traces three generations of inherited pain, from her mother's enslavement in China to the poet's own reckoning with motherhood and belonging."
"4338","Britain’s Diaspora-Led Hong Kong Film Festival Shines a Spotlight on the City’s Women Directors","In its third edition, Britain's diaspora-led Hong Kong Film Festival UK spotlights women directors through a programme exploring migration, activism, and the quiet subversiveness of Hong Kong cinema."
"4340","Virtual Workshop: Writing Across Borders: Crafting Essays on Science, Culture & Current Events with Yangyang Cheng","Yangyang Cheng leads a virtual workshop on crafting essays that move beyond Cold War binaries and Orientalist tropes in U.S.-China coverage, centering people and marginalized voices over state interests."
"4334","NüVoices Podcast #125: A Conversation with Director Elizabeth Lo about her Documentary, ‘Mistress Dispeller’","Director Elizabeth Lo joins Solarina Ho to discuss her Venice-premiered documentary Mistress Dispeller, exploring China's secretive industry of hired intermediaries who end affairs and the complex dynamics of marriage, infidelity, and saving face."
"4330","Hong Kong Law Students Pursue Justice Against AI Deepfakes","Female law students at the University of Hong Kong discover the limits of the law after a male classmate creates AI-generated explicit images of dozens of women, turning their outrage into a campaign for legislative reform."
"4320","NüProfile: Translator Sarah Ye ties Shakespeare to Classical Chinese poetry","Beijing-based translator Sarah Ye reflects on rendering all 154 of Shakespeare's sonnets into Chinese and the surprising parallels she discovered between Elizabethan verse and classical Chinese poetry."
"4312","NüVoices Podcast #124: Daughters of the Bamboo Grove: A Conversation with Award-winning Author Barbara Demick","Award-winning author Barbara Demick discusses her new book tracing twin sisters torn apart by China's One Child Policy — and the investigative journalism that reunited them."
"4305","Meng Han Hsieh’s film ‘The Test’ powerfully portrays Britain’s alienating naturalisation process","Taiwanese-British director Meng Han Hsieh channels her own naturalisation experience into 'The Test,' a Sony Future Filmmaker Awards finalist that lays bare the indignities of Britain's citizenship process."
"4300","NüVoices Podcast #123: Grace Shao, China’s AI boom and the myth of US-China race","Grace Shao unpacks China's divergent approach to AI deployment, the depth of its domestic talent pipeline, and why the popular narrative of a US-China AI race oversimplifies a far more nuanced reality."
"4297","Meet the Hong Kong migrant mums swapping the workplace for home life","When thousands of Hong Kong mothers migrated to Britain on BN(O) visas, many swapped busy careers for full-time domesticity—and a quiet crisis of identity in an unfamiliar land."
"4291","Overseas Chinese feminists call on Beijing to protect women from digital violence","Overseas Chinese feminists in London demand Beijing crack down on digital sexual violence after a massive Telegram network exposed covertly filmed images of women to nearly a million users."
